pierre,hugo,charles andré,tweets
not hate,not hate,not hate,"@user , you are correct that Reid certainly is a weasel. Sadly, we've got our own weasels; @user Sen McConnell & @user .The corrupt Mueller investigation w/be STOPPED if those 3 did their jobs.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #USA"
hate,hate,hate,Whoever just unfollowed me you a bitch
not hate,not hate,hate,@user @user Those People Invaded Us!!! They DO NOT BELING HERE & HAVE NO RIGHTS! Its #AmericaFIRST! Open Your House To Them If Your That IGNORANT! & Yes Im A #Christian Too! #NODACA!
not hate,hate,hate,"stop JUDGING bitches by there cover, jus cuz she bad don't mean she's a catch shawdy could be a whore 👀 das opposite of a keeper"
hate,hate,hate,how about i knock heads off and send them gift wrapped to your moms house you dumb raggedy bird bitch ass hoes
undefined,undefined,not hate,@user @user @user Always #NoDACA.I AM BORN IN #USA AND #USA FIRST.
hate,hate,hate,"@user @user Muslims attacked US on 9/11, 3000 killed. Subsequently we allowed more Muslims in our country?!?Does this make any sense to you?You can thank Obama, his liberals minions, RINO's & political correctness. #MuslimBan #BanIslam #TravelBan #DrainTheDeepState #DeportThemAll"
not hate,not hate,not hate,@user @user Like he ever kept out any threats. He's lying as usual. #BuildThatWall
hate,hate,hate,#germany deserves to called #cuck/land they allow in #isis fighters as #Refugees even if they raped underaged girls. this #yazidi girl is scared of this and she is forced to see the face of her rapist.#refugeesnotwelcome should apply to these scum
hate,hate,hate,@user @user They can scrim whoever they fucking want this isn't a fucking chall you dumb bitch
hate,hate,hate,Ok bitch nigga. You don't even watch basketball! Stfu. Who was the laker coach this year? Bet yo hoe ass look it up…
not hate,not hate,hate,"@user @user Absolutely! No DACA, No Amnesty, No Sanctury Cities, Deport All Illegal Aliens, Build The Wall! #MAGA #2A #NoDACA #DeportThemAll #BuildTheWall #OBAMAgate #StandWithICE #PEDOgate #LockThemAllUp #BanIslam #TRUMP2020 @user @user"
hate,hate,hate,Fuck whoever drank 2 of my teas. Fuck you. And your fucking family. And I wish bad juju karma on you. Because you're a mf cunt waffle.
hate,not hate,hate,@user @user Toronto is starting to sound like LondonstanWe have to get on the #MadMax2019 train!!@MaximeBernier is the only one who can get our country back.#BanMuslims #BanIslam #SendThemBack
not hate,not hate,not hate,Thank you @user @user for doing the right thing and appointing John Kyl to the seat of the late @user America Thanks You!Please #RETWEETConfirm Kavanaugh to #SCOTUS Join us @ #BuildThatWall @
hate,hate,hate,Shut your dumbass up bitch we all know you a hoe
not hate,hate,hate,Neva trust a bitch🤘 if she tell you she don't got hoes or nigga's her ass lying💯
not hate,not hate,hate,You cuff dat bitch you goofy hoe cause my brudda josh been break dat hoe.
hate,hate,hate,Bitches Boyfriends/baby daddy/ husband be locked up for 10 minutes and already going out to be a hoe bitch you sad 😂
not hate,not hate,hate,"Trump wants to deport illegal aliens with 'no judges or court cases' #MeTooI am solidly behind this actionThe thought of someone illegally entering a country & showing no respect for its laws,should be protected by same laws is ludacris!#DeportThemAll"
hate,not hate,hate,@user Please visit today to honor the thousands of victims killed by illegal aliens!We are building a memorial wall.#RETWEETHelp #BuildThatWall in their memory!Follow @user & @user
not hate,not hate,not hate,"@user @user Agreed! Tonight's show was very informative. Tucker is brilliant, and @user is so smart #BuildThatWall"
not hate,not hate,hate,"flashback to freshman year 😂😂😂 & to whoever still has this video, youza creep ass bitch😂"
not hate,hate,hate,Bitches hollering it's tooo hot!! Well bitch go back to winter you can have that shit hoe you wasn't yelling it when yo ass was freezing 🙄👉
not hate,not hate,not hate,#ConfirmKavanaugh#Democrats will thrash and scream no matter what @user does. #RINOS stop #obstructing Let's fulfill #MAGA agenda!#BuildThatWall#NoSanctuary#DrainTheSwamp#AmericaFirst#ConfirmJudgeKavanaugh#DemocratsHateAmerica#WalkAway#VoteRedToSaveAmerica
not hate,not hate,hate,"When some1 is very sick, you send a doctor, not ask them to come to hospital themselves. Now explain me why are we bringing in Syrians, especially adults, into Turkey letting them steal our jobs, lower the wages and ridicule our values?#sendthemback #syrian #Refugees #Turkey"
not hate,not hate,hate,Ion want your side hoe I want your main bitch
not hate,not hate,not hate,#newday they are not asylum seekers they are illegal immigrants #sendthemback
not hate,not hate,not hate,"So that they can hide their lies from the public who has the right to know the truth of what they have done, all belong in prison for life, they know it and public will know as well very soon @user @user #BuildTheWall #LockThemUp #EndDACA #BoycottNFL #BoycottNike"
not hate,hate,undefined,"bitch if you were a cookie, you'd be whoreo 🙄🙄🙄"
